"k" "absresidrel" "runtimeb" "runtimea"
"1" 3 0.00137620074016622 6.4775632 0.031468751
"2" 3 0.00143446772770246 6.482814942 0.034827918
"3" 3 0.00139521099237862 6.322379744 0.064259589
"4" 3 0.00128718479946237 6.235160017 0.03664989
"5" 3 0.00137498041942717 6.199952137 0.048249163
"6" 3 0.00134561761900349 6.218303249 0.047207427
"7" 3 0.00142730713967014 6.218221824 0.065192615
"8" 3 0.00137143480522226 6.270476049 0.051939236
"9" 3 0.00138630941742469 6.29107078 0.054519315
"10" 3 0.00132292546955026 6.323060554 0.066386319
"11" 3 0.0013612513224783 6.270724723 0.053679133
"12" 3 0.00137936113489035 6.591630132 0.048978697
"13" 3 0.00130699899248126 6.224865138 0.050627612
"14" 3 0.00137117055168177 6.260699345 0.063957987
"15" 3 0.00129878392601136 6.208364713 0.049732001
"16" 3 0.00127933040142129 6.368316811 0.048038871
"17" 3 0.00133881482024651 6.158537849 0.046841561
"18" 3 0.00137359006158621 6.348683788 0.034377495
"19" 3 0.00142051889746023 6.38000765 0.04727345
"20" 3 0.00134179540501219 6.237566213 0.04740089
"21" 3 0.0012922176795539 6.326780795 0.057811391
"22" 3 0.00130625033124219 6.475319505 0.037295919
"23" 3 0.00141401643764739 6.271766985 0.050773507
"24" 3 0.00138166972880145 6.438312404 0.047382624
"25" 3 0.00136259679573591 6.219060777 0.068508835
"26" 3 0.00135273170712869 6.235064984 0.046927446
"27" 3 0.00136825071471684 6.250260551 0.050171945
"28" 3 0.00134476021887152 6.330239546 0.034391184
"29" 3 0.00129976452628979 6.307189555 0.047102638
"30" 3 0.00129387797490997 6.309794443 0.066875033
"31" 3 0.00138109053030696 6.319368525 0.067163235
"32" 3 0.00142378393540337 6.623031347 0.035103004
"33" 3 0.00138544678003919 6.213893032 0.047942439
"34" 3 0.00137583432621407 6.222904613 0.049833997
"35" 3 0.00143879810912157 6.445371986 0.047561736
"36" 3 0.00123888530419023 6.19185008 0.034164103
"37" 3 0.00129600934264225 6.180869305 0.04752786
"38" 3 0.00133696859812114 6.15725357 0.033945942
"39" 3 0.00131803007032241 6.381176009 0.045132779
"40" 3 0.00132187642821036 6.214046236 0.047935605
"41" 3 0.00128280999937311 6.298931388 0.051073528
"42" 3 0.00145361592013987 6.279795128 0.05277951
"43" 3 0.00137731163843015 6.329704946 0.06712996
"44" 3 0.00139501957239107 6.230195452 0.04835325
"45" 3 0.00135094240563525 6.241650493 0.047311022
"46" 3 0.00136592922741906 6.412092507 0.03315054
"47" 3 0.00133968476045483 6.245924656 0.047813662
"48" 3 0.00146543827100902 6.33267925 0.063115836
"49" 3 0.00143665070955206 6.297098192 0.049258401
"50" 3 0.00128684177115012 6.282416042 0.054103896
"51" 3 0.00143542372379907 6.301151112 0.033790988
"52" 3 0.0013186908223618 6.646923637 0.049927578
"53" 3 0.00136949387998559 6.28358029 0.047103806
"54" 3 0.00140325216612819 6.276908008 0.046607547
"55" 3 0.00132931696308966 6.314896476 0.062083176
"56" 3 0.00144692589779189 6.287776633 0.04733534
"57" 3 0.00129036019790941 6.174447158 0.048629713
"58" 3 0.00128001310085076 6.174418206 0.047279166
"59" 3 0.00132285770354108 6.174332306 0.048944545
"60" 3 0.00140545239920023 6.299519372 0.060467027
"61" 3 0.00129507043088435 6.289892838 0.051603103
"62" 3 0.00129034363059835 6.324471555 0.068858922
"63" 3 0.00134461506259981 6.489240038 0.035702911
"64" 3 0.00130552721970881 6.226798399 0.049134212
"65" 3 0.00126145530105296 6.224300706 0.048792927
"66" 3 0.00143575346576704 6.215094384 0.047769225
"67" 3 0.00136033422753703 6.271659827 0.071238536
"68" 3 0.00129331431836442 6.305039961 0.062870525
"69" 3 0.00133218090637993 6.363325415 0.051927292
"70" 3 0.00136307750857077 6.287408626 0.058277002
"71" 3 0.00147099514684034 6.286194445 0.04978544
"72" 3 0.00134469358903066 6.763820211 0.04908063
"73" 3 0.00132073704828491 6.294976055 0.047106844
"74" 3 0.00145110378709443 6.430491601 0.0320396
"75" 3 0.00128962559509348 6.433294395 0.047722176
"76" 3 0.00131681508608453 6.196732543 0.048713961
"77" 3 0.00139717521595044 6.186701959 0.053654561
"78" 3 0.00134183507661769 6.153315945 0.046714979
"79" 3 0.00133882325941867 6.1680662 0.046616114
"80" 3 0.00137996430591717 6.249890146 0.048095315
"81" 3 0.00136652515805528 6.299517931 0.050459966
"82" 3 0.00141547256882757 6.289495554 0.066306646
"83" 3 0.00137408214224464 6.309793141 0.066360167
"84" 3 0.00139046934138995 6.243434587 0.048363588
"85" 3 0.00146960429929552 6.228549554 0.047124568
"86" 3 0.00129642230559511 6.214250788 0.047821613
"87" 3 0.00138030562443586 6.23278478 0.048019345
"88" 3 0.00143290827242528 6.331575296 0.035202599
"89" 3 0.00127791639479674 6.283691915 0.050912263
"90" 3 0.00130735936552783 6.34473017 0.062054358
"91" 3 0.0014745678575048 6.310284035 0.064702312
"92" 3 0.00141882979609943 6.595024899 0.049838577
"93" 3 0.00142434065020937 6.218148533 0.047989637
"94" 3 0.00143719311601051 6.218074547 0.048245406
"95" 3 0.00128970457368376 6.317880922 0.051724422
"96" 3 0.00143039670299276 6.153284164 0.047527043
"97" 3 0.00137332107264061 6.150573289 0.045188136
"98" 3 0.00145192572478887 6.178166893 0.048055334
"99" 3 0.00128630255483737 6.162286695 0.048345665
"100" 3 0.0014338605368507 6.251996622 0.047244202
"101" 4 0.00093195258511624 6.297215178 0.038908882
"102" 4 0.000971442733914744 6.302020442 0.06103129
"103" 4 0.000944829396422031 6.471883782 0.028031028
"104" 4 0.00087172461926864 6.233040436 0.041886454
"105" 4 0.000931188720661609 6.227671833 0.041702579
"106" 4 0.000911285482878208 6.228390722 0.049456816
"107" 4 0.000966605949069354 6.199528618 0.039886431
"108" 4 0.000928788042586923 6.321838324 0.060333791
"109" 4 0.000938881329491293 6.268621946 0.066388725
"110" 4 0.000895883771542521 6.31606452 0.064998995
"111" 4 0.000921854413853071 6.33385556 0.056512899
"112" 4 0.000934181852408191 6.600709226 0.030734979
"113" 4 0.000885135971755372 6.225986007 0.028211396
"114" 4 0.000928626247121247 6.225564468 0.040172096
"115" 4 0.000879578525035038 6.247319518 0.040450959
"116" 4 0.000866368469650451 6.150062231 0.040422275
"117" 4 0.000906725382753434 6.148996984 0.041449249
"118" 4 0.000930266387160887 6.136001619 0.040405278
"119" 4 0.000962033171400118 6.1806925 0.026876501
"120" 4 0.000908661024346378 6.284371709 0.042786838
"121" 4 0.000875154322045745 6.310110539 0.04201111
"122" 4 0.000884627657079073 6.272889616 0.041685519
"123" 4 0.000957616772086558 6.323466619 0.025406944
"124" 4 0.000935711432700656 6.218808504 0.057900544
"125" 4 0.000922786198639791 6.199636664 0.027624225
"126" 4 0.000916147550658385 6.401472857 0.02723596
"127" 4 0.000926587209486133 6.256484131 0.028858002
"128" 4 0.000910731568808232 6.307012041 0.060091158
"129" 4 0.000880270755464972 6.267589647 0.027283075
"130" 4 0.00087618386017771 6.276893534 0.042078198
"131" 4 0.000935400533548374 6.287910726 0.040762042
"132" 4 0.000964265523857949 6.562652159 0.04056078
"133" 4 0.000938275741247899 6.220835467 0.045944688
"134" 4 0.000931777865873435 6.220595039 0.04055936
"135" 4 0.000974429941953118 6.251242817 0.024609401
"136" 4 0.000839008503769221 6.235866402 0.045378284
"137" 4 0.000877709222852903 6.13601715 0.040245898
"138" 4 0.000905488220182857 6.150092697 0.041407122
"139" 4 0.000892704508586801 6.136270388 0.037598281
"140" 4 0.000895217298076366 6.244522051 0.039187349
"141" 4 0.000868757410129034 6.290131803 0.062202759
"142" 4 0.000984430196831309 6.301458208 0.06134815
"143" 4 0.000932756752305063 6.283327378 0.040870173
"144" 4 0.0009447560230627 6.255748084 0.041052528
"145" 4 0.000914937089219911 6.199432148 0.027718892
"146" 4 0.000925072381553964 6.199922305 0.029252778
"147" 4 0.000907231547608576 6.214630408 0.040444654
"148" 4 0.000992440778411105 6.281287426 0.038578099
"149" 4 0.00097290382809743 6.259268011 0.041857629
"150" 4 0.000871486313382204 6.480252045 0.027695712
"151" 4 0.000972140999422088 6.285594076 0.051063381
"152" 4 0.000893091232528208 6.767441096 0.050980608
"153" 4 0.0009274513387008 6.228388098 0.042161341
"154" 4 0.000950265085130259 6.217184318 0.042006074
"155" 4 0.000900242635107258 6.26035528 0.041195383
"156" 4 0.000979840549349617 6.183622584 0.041801098
"157" 4 0.000873883191373183 6.160933268 0.027777391
"158" 4 0.000866804315051958 6.167110215 0.041397254
"159" 4 0.00089588751202763 6.136730329 0.047217764
"160" 4 0.000951774675317728 6.273645455 0.046977281
"161" 4 0.00087701076420778 6.25853323 0.04208339
"162" 4 0.000873858590321073 6.281337547 0.042925335
"163" 4 0.000910655451104019 6.303060285 0.04619963
"164" 4 0.000884210358582015 6.215159568 0.02861656
"165" 4 0.000854296991652948 6.214855997 0.027995768
"166" 4 0.000972369515277317 6.195544018 0.058722723
"167" 4 0.000921259323889047 6.235466135 0.041419438
"168" 4 0.000875862476165161 6.312372645 0.062023708
"169" 4 0.000902237818632008 6.279025378 0.026723679
"170" 4 0.000923171273521945 6.289832832 0.026599689
"171" 4 0.000996190532970302 6.309763883 0.059194493
"172" 4 0.000910638152997671 6.569675806 0.029570097
"173" 4 0.000894549577863993 6.255884607 0.042283598
"174" 4 0.000982734277050046 6.185618715 0.040847662
"175" 4 0.000873375988442428 6.236018682 0.040106538
"176" 4 0.000891812814567684 6.18066991 0.063081277
"177" 4 0.000946155312850844 6.192221325 0.041895282
"178" 4 0.000908746874814676 6.159867842 0.038087844
"179" 4 0.000906712546597962 6.164584516 0.027537701
"180" 4 0.000934580102578848 6.225710888 0.040217046
