"k" "absresidrel" "runtimeb" "runtimea"
"1" 3 324109.766023628 9.450110728 4.000615335
"2" 3 639320.673397521 9.571217321 4.021215784
"3" 3 679881.40872696 9.465757654 3.971476488
"4" 3 422419.202825962 9.41980914 3.981758941
"5" 3 193126.897422852 9.438568369 4.010894392
"6" 3 452941.440926045 9.427671623 3.964059057
"7" 3 622307.36737025 9.431443544 3.99357824
"8" 3 236732.303860491 9.585308182 4.115202413
"9" 3 198986.206874516 9.631026841 4.080173233
"10" 3 630349.398462321 9.508339953 4.049232234
"11" 3 362985.377504334 9.379260874 3.911474981
"12" 3 155610.906041387 10.151948556 4.056166355
"13" 3 197086.672725894 9.56443331 4.022779521
"14" 3 270999.73733885 9.356926977 3.935609874
"15" 3 206465.38471287 9.525952698 4.043285694
"16" 3 686514.986204123 9.260920648 3.885391957
"17" 3 342903.846527763 9.440608975 4.017995234
"18" 3 146262.809153896 9.266249289 3.898578808
"19" 3 205050.688430762 9.367579575 3.957347949
"20" 3 666588.449621472 9.369899359 3.933599471
"21" 3 211891.547314067 9.602195673 4.113900592
"22" 3 231718.472009241 9.478293836 3.999984723
"23" 3 314015.518927453 9.483630504 3.99311364
"24" 3 1092354.19065704 9.419447964 3.972815868
"25" 3 277660.972522314 9.448970648 4.01669092
"26" 3 246401.884465765 9.488804727 4.015336365
"27" 3 633042.12284145 9.369208316 3.921382712
"28" 3 191268.188478491 9.612837259 4.065130184
"29" 3 147146.68521575 9.453292029 3.937888631
"30" 3 247141.230434178 9.619344594 4.10930505
"31" 3 259701.911107681 9.641060175 4.072208605
"32" 3 107467.583318825 10.304781491 4.117577866
"33" 3 756806.913148145 9.371919772 3.870422233
"34" 3 814355.484944847 9.406265459 3.924203026
"35" 3 347224.02092236 9.39926638 3.916584867
"36" 3 694031.199593706 9.260224847 3.908656489
"37" 3 318528.293444439 9.270752564 3.947712555
"38" 3 728076.592968204 9.2807921 3.903185348
"39" 3 249994.051295625 9.323749896 3.896753479
"40" 3 484977.790034922 9.568306841 4.025515706
"41" 3 726820.459236692 9.546116511 4.071316082
"42" 3 165102.41334361 9.533664281 3.991635729
"43" 3 1559996.09748979 9.568784045 4.030682077
"44" 3 1335331.74911228 9.63551947 4.187745322
"45" 3 1416510.45569684 9.447846124 4.010824134
"46" 3 258669.527606223 9.369637885 3.928978167
"47" 3 307231.063586763 9.496648566 4.068905319
"48" 3 718830.665589366 9.42240774 3.956920318
"49" 3 311482.784397599 9.461616184 3.972287766
"50" 3 334318.223046901 9.483229774 4.032631453
"51" 3 617272.45197495 9.444758289 3.979726147
"52" 3 407209.845659651 10.188801299 4.081246478
"53" 3 426396.037884686 9.398951543 3.982166238
"54" 3 867822.660164268 9.328756365 3.88735514
"55" 3 168305.209242823 9.686734105 4.22777883
