"k" "absresidrel" "runtimeb" "runtimea"
"1" 3 495733.503308515 7.672042286 2.892051617
"2" 3 830478.141228877 7.723840933 2.935199401
"3" 3 260035.737674801 7.74550958 2.910199138
"4" 3 27118.7153913164 7.623079105 2.899627668
"5" 3 120457.259499956 7.856606898 3.118065742
"6" 3 974313.20976045 7.666456609 2.886040695
"7" 3 1583960.04389954 7.770273695 2.787723651
"8" 3 3423.11353514919 7.664468694 2.881609184
"9" 3 6483.51415823675 7.931244624 2.887571034
"10" 3 2574.45888223653 7.668654467 2.865149056
"11" 3 1777429.46992539 7.696213301 2.892910252
"12" 3 715887.788457236 8.303811335 3.069661312
"13" 3 588808.909079172 7.581518432 2.850642113
"14" 3 22804.1163912457 7.58892015 2.852168626
"15" 3 135803.441607063 7.832097561 3.050749944
"16" 3 462602.825734852 7.474540364 2.836297422
"17" 3 250798.489650143 7.694371388 2.771014775
"18" 3 617989.528025531 7.532296782 2.850988855
"19" 3 16848.7335877807 7.518171901 2.860138461
"20" 3 1147404.92025228 7.56653644 2.895157164
"21" 3 11257.8857639111 7.675517479 2.869261646
"22" 3 1616.08330635367 7.830004637 2.971237197
"23" 3 870709.656924629 7.780328177 2.983341969
"24" 3 936730.349317668 7.611754877 2.843126606
"25" 3 913457.241244443 7.565208449 2.814789754
"26" 3 98746.0937037143 7.617620364 2.880584526
"27" 3 189863.843500817 7.714410407 2.925271266
"28" 3 202199.06620166 7.854588533 3.043785768
"29" 3 25993.6983010184 7.695350935 2.881216498
"30" 3 3569.73849804733 7.801095201 2.977215758
"31" 3 564784.529378813 7.748950831 2.957614257
"32" 3 192650.376550898 8.201988245 2.981221682
"33" 3 5652.61453997375 7.83827169 2.815175808
"34" 3 204763.33041312 7.654927289 2.964658054
"35" 3 78765.0112495399 7.592472804 2.852102333
"36" 3 16130.7754765727 7.550856952 2.818329284
"37" 3 51823.4243346844 7.586574871 2.919101266
"38" 3 682383.099619327 7.580689702 2.918789189
"39" 3 130.431870543609 7.684320733 2.751761419
"40" 3 370002.631542937 7.573902227 2.864168003
"41" 3 3059.52390912492 7.623465557 2.918519748
"42" 3 41839.4357072241 7.721084157 2.916417692
"43" 3 5879.24144510342 7.688900956 2.89080053
"44" 3 42609.1230698886 7.61428848 2.894851985
"45" 3 103088.31778158 7.702209273 2.980325143
"46" 3 7807.8080448708 7.580549615 2.856173188
"47" 3 290.029053082196 7.530595609 2.852994459
"48" 3 360378.308345187 8.056714732 3.023909233
"49" 3 1740474.67050218 7.760007717 2.986536413
"50" 3 818474.630685307 7.665101029 2.87030569
"51" 3 22989.3055228021 7.681078229 2.888686509
"52" 3 803167.911924811 8.302452633 3.056325261
"53" 3 206613.288189793 7.576843852 2.833376517
"54" 3 65700.6842168928 7.598034681 2.858318156
"55" 3 1006904.03435973 7.610817149 2.847923307
"56" 3 464802.76926933 7.471800903 2.782419403
"57" 3 22124.8776964597 7.48694177 2.803654528
"58" 3 3417.69035222961 7.478887953 2.801737812
"59" 3 28882.467575963 7.621108361 2.717519271
"60" 3 254937.211034177 7.548926268 2.831355214
"61" 3 121530.004593838 7.643009462 2.844718843
"62" 3 151267.30666531 7.649559444 2.872083175
"63" 3 473546.650720923 7.803793151 2.987671022
"64" 3 368064.940502658 7.629537446 2.881786792
"65" 3 69889.0615009107 7.825230822 2.810327081
"66" 3 414253.840209085 7.64341752 2.886483958
"67" 3 121268.497165154 7.650639174 2.892992895
"68" 3 24.9312572538707 7.698511609 2.933669083
"69" 3 1372686.07467849 7.771115449 3.030965039
"70" 3 596641.148235493 7.74986891 2.955195297
"71" 3 96507.2620356029 7.722299342 2.879816922
"72" 3 1789450.32808966 8.332984774 3.108693475
"73" 3 1190503.33116055 7.755057842 2.725098674
"74" 3 325385.430858533 7.708420289 2.940019563
"75" 3 53927.1842082742 7.609090796 2.85509023
"76" 3 621766.289281295 7.556133591 2.867925124
"77" 3 9995.31731240824 7.466734893 2.821558641
"78" 3 759791.616994754 7.460275765 2.798906318
"79" 3 52070.0145140973 7.796270289 2.866947559
"80" 3 10520.8932918264 7.549707877 2.815606843
"81" 3 91114.3756710628 7.686608535 2.899487148
"82" 3 29051.8960749219 7.694604595 2.896450447
"83" 3 470.246852207863 7.648696586 2.940662542
"84" 3 1865886.29848145 7.905411735 2.939306019
"85" 3 2744.77011661256 7.641056664 2.898918651
"86" 3 145509.012725381 7.586829143 2.849065619
"87" 3 15226.932744664 7.725588342 2.985114509
"88" 3 89562.7700077718 7.794969095 2.964445458
"89" 3 98616.2083180856 7.633856925 2.84492776
"90" 3 129997.004832668 7.690220855 2.899121359
"91" 3 358761.935776607 7.714551371 2.892715234
"92" 3 397012.48268691 8.294577364 3.002562341
"93" 3 49658.8002955176 7.595153195 2.854722451
"94" 3 23021.0985768041 7.669068864 2.926084768
"95" 3 38774.6337774637 7.619033991 2.829828637
"96" 3 12389.604588211 7.508506311 2.829691075
"97" 3 327758.171089527 7.491711518 2.838077315
"98" 3 223942.76209976 7.697948049 2.769327481
"99" 3 72563.3770869536 7.698619437 2.786572948
"100" 3 942.122672967984 7.828904207 2.802285652
"101" 4 776666.420616659 9.216554105 4.201836133
"102" 4 1258920.35163182 9.485574209 4.47527597
"103" 4 412872.780254567 9.085712566 4.317445042
"104" 4 46632.7842249564 8.983295348 4.249873053
"105" 4 187629.088866205 9.165561018 4.187452354
"106" 4 1484632.74323758 9.114140185 4.388154707
"107" 4 2445513.95008576 9.257172427 4.505041783
"108" 4 6736.05487666958 9.123564125 4.353197225
"109" 4 9166.0817405981 9.197930829 4.191225477
"110" 4 2844.44423897475 9.314017033 4.51015299
"111" 4 2702515.41967016 9.157990128 4.351601304
"112" 4 1127354.29399618 9.927978612 4.430911184
"113" 4 890468.684012689 9.143280676 4.141568016
"114" 4 33821.1936899101 9.221256063 4.213270791
"115" 4 202238.125817073 9.1425219 4.137020886
"116" 4 718666.462460928 9.138965888 4.172264404
"117" 4 378094.844257944 8.947650629 4.202768976
"118" 4 926027.592802773 9.058320958 4.132537466
"119" 4 25502.3298289753 9.093939458 4.162942698
"120" 4 1752335.59098965 9.037028765 4.280308975
"121" 4 21255.8025861337 9.072113203 4.313712063
"122" 4 3968.62105016455 9.094008097 4.363855889
"123" 4 1295809.87986177 9.273483902 4.227301596
"124" 4 1419138.70868857 9.085515688 4.334156111
"125" 4 1397897.05991891 9.264874483 4.546330036
"126" 4 163423.550665145 9.145232498 4.172466429
"127" 4 300408.314718833 9.202414519 4.222872169
"128" 4 320827.325941723 9.324164479 4.231636636
"129" 4 36838.1774171689 9.230436435 4.208460914
"130" 4 6605.57780739185 9.321803838 4.488342073
"131" 4 850657.175627095 9.184405501 4.350445328
"132" 4 288349.934028949 9.921068994 4.445762446
"133" 4 10488.592235818 9.386501454 4.077557973
"134" 4 307174.79202097 9.178661749 4.122041037
"135" 4 119936.589368178 9.07455033 4.287696091
"136" 4 25556.0199824038 9.192393645 4.273258816
"137" 4 71979.9578147168 9.33414799 4.438174521
"138" 4 1022986.77280071 8.871569974 4.156756927
"139" 4 149.529873762049 8.935044328 4.208903007
"140" 4 589195.986471194 9.109662668 4.328541713
"141" 4 5083.50860723375 9.17376428 4.165396735
"142" 4 64632.5594017486 9.117434878 4.283680277
"143" 4 11412.6281241454 9.494462882 4.447589364
"144" 4 66681.1799664608 9.212298318 4.228439047
"145" 4 158069.229528233 9.037297831 4.256518608
"146" 4 9447.29849785352 9.06010586 4.335264126
"147" 4 758.017706965585 9.174538395 4.174599598
"148" 4 548124.809541496 9.206163073 4.195791731
"149" 4 2617899.80639503 9.216482675 4.429523377
"150" 4 1233463.43573487 9.123863792 4.304355399
"151" 4 32265.4596613806 9.200845977 4.354224859
"152" 4 1212765.93753121 9.922196937 4.427457612
"153" 4 315887.113777865 9.436496568 4.398543071
"154" 4 93700.9208361292 8.952303055 4.199080227
"155" 4 1507775.5655209 9.026766153 4.294588791
"156" 4 697051.874284392 8.896687045 4.20162637
"157" 4 31165.701840899 8.913265602 4.225053609
"158" 4 3345.12588131648 8.947510996 4.255537478
"159" 4 45587.0116055276 8.952776498 4.260387479
"160" 4 374631.640838759 8.949073564 4.204079729
"161" 4 185544.622228054 9.219529234 4.157653938
"162" 4 226226.579839337 9.106766383 4.317094432
"163" 4 703584.459910599 9.231676629 4.174695642
"164" 4 563817.081071623 9.108582947 4.329544001
"165" 4 113526.185024124 9.417729195 4.44688316
"166" 4 623745.556291271 9.042103942 4.317034686
"167" 4 182361.772657807 9.073687217 4.335454738
"168" 4 17.9541591866678 9.110651595 4.297566562
"169" 4 2096304.26396905 9.147970958 4.356141051
"170" 4 915815.000449749 9.298551627 4.264958417
"171" 4 159038.452074149 9.252805646 4.183537191
"172" 4 2719774.99326407 9.794787466 4.565943718
"173" 4 1817475.52023523 9.274008898 4.29347371
"174" 4 520441.375676229 9.101155634 4.077318736
"175" 4 83432.6494788549 8.998774347 4.242485691
"176" 4 940171.251504361 8.950725065 4.225962662
"177" 4 18571.1860774014 9.041141311 4.122583248
"178" 4 1165246.00021271 8.993897109 4.323279978
"179" 4 68162.2896245467 8.986229206 4.28365631
"180" 4 16306.9282792177 9.026043721 4.263812983
"181" 4 147118.691692109 9.434673365 4.364302688
"182" 4 40791.7603335338 9.058810084 4.301211472
"183" 4 849.688345439751 9.191634507 4.396839168
"184" 4 2812789.12772153 9.239165785 4.279374716
"185" 4 4694.06118981496 9.033909138 4.298820228
"186" 4 217026.674309951 9.038149172 4.265725
"187" 4 26356.308513523 9.199481599 4.418906966
"188" 4 134719.334451489 9.292750617 4.50986498
"189" 4 141388.107720031 9.111099467 4.332819605
"190" 4 199072.623742469 9.285822889 4.247521029
"191" 4 543456.737504952 9.209079923 4.380222032
"192" 4 606366.704066134 9.937464621 4.435086914
"193" 4 82377.768992814 9.048627646 4.329618924
"194" 4 46080.5276505579 9.204497816 4.217376295
"195" 4 66625.3326514837 9.108383835 4.119077751
"196" 4 16813.9811568964 9.0551077 4.123230828
"197" 4 511209.382156021 8.99719382 4.269994752
"198" 4 342275.217832287 9.001971898 4.091032677
"199" 4 113020.226730233 9.082320504 4.209784686
"200" 4 2012.13237302028 8.980123709 4.218522373
"201" 5 12279.458900509 9.249827682 4.443124287
"202" 5 20660.4933423082 9.242101275 4.445799119
"203" 5 6649.76833879187 9.280213264 4.469787906
"204" 5 738.750033871321 9.263410313 4.258345937
"205" 5 2893.89526580446 9.311739328 4.558971517
"206" 5 24648.5703570574 9.398896229 4.410263865
"207" 5 39413.1523609145 9.267059121 4.251170577
"208" 5 130.718830075198 9.477936344 4.477867739
"209" 5 149.133778416128 9.431723975 4.38466306
"210" 5 86.7567548809051 9.254857598 4.443262219
"211" 5 44609.5416291554 9.301843947 4.474243941
"212" 5 18162.1012788736 10.006220585 4.549838686
"213" 5 14736.3857215398 9.285998794 4.252255461
"214" 5 627.780549429793 9.157016973 4.411053774
"215" 5 3280.79490954021 9.134909598 4.375432013
"216" 5 11181.5052840494 9.207464805 4.286939222
